化学式,相,温度,结构文件,密度_Atom_per_Angstrom3,体系原子数,贡献者,HPC来源路径,代表帧来源,功能性,能量_eV_per_atom_MLIP
Ge16Sb61Te108,amorphous,300K,hhy/GST/3-opt/CONTCAR,0.02717,185,Henyi Hu,~/hhy/GST/3-opt/CONTCAR,opt-CONTCAR,PCM,-3.522507786106419
Ge43Sb43Te108,amorphous,300K,hhy/GST225/3-opt/CONTCAR,0.02873,194,Henyi Hu,~/hhy/GST225/3-opt/CONTCAR,opt-CONTCAR,PCM,-3.5966847213273194
Ge16In13Sb61Te108,amorphous,300K,hhy/IGST/3-opt/CONTCAR,0.02752,198,Henyi Hu,~/hhy/IGST/3-opt/CONTCAR,opt-CONTCAR,PCM,-3.471475003945707
Ag5Ge50Se50,amorphous,300K,tsq/GeSe_Ag/0/4-opt/CONTCAR,0.03548,105,Siqi Tang,~/tsq/GeSe_Ag/0/4-opt/CONTCAR,opt-CONTCAR,OTS,-4.043954322451637
Ag10Ge50Se50,amorphous,300K,tsq/GeSe_Ag/1/4-opt/CONTCAR,0.03645,110,Siqi Tang,~/tsq/GeSe_Ag/1/4-opt/CONTCAR,opt-CONTCAR,OTS,-3.967841131036932
Ag15Ge50Se50,amorphous,300K,tsq/GeSe_Ag/2/4-opt/CONTCAR,0.03741,115,Siqi Tang,~/tsq/GeSe_Ag/2/4-opt/CONTCAR,opt-CONTCAR,OTS,-3.9040803328804348
Ag20Ge50Se50,amorphous,300K,tsq/GeSe_Ag/3/4-opt/CONTCAR,0.03787,120,Siqi Tang,~/tsq/GeSe_Ag/3/4-opt/CONTCAR,opt-CONTCAR,OTS,-3.849345906575521
Ge150Te150,amorphous,300K,tsq/GeTe/DOS/1-relax/CONTCAR,0.03098,300,Siqi Tang,~/tsq/GeTe/DOS/1-relax/CONTCAR,opt-CONTCAR,PCM,-3.7617195638020835
Ge150Te150,amorphous,300K,tsq/GeTe/remodeling/POSCAR,0.03186,300,Siqi Tang,~/tsq/GeTe/remodeling/POSCAR,md-first-frame,PCM,-3.69141357421875
Sb300,amorphous,300K,tsq/sb-te/local_potential/0-sb/POSCAR,0.02987,300,Siqi Tang,~/tsq/sb-te/local_potential/0-sb/POSCAR,md-first-frame,Others,-3.87488525390625
Sb200Te100,amorphous,300K,tsq/sb-te/local_potential/1-sb2te/POSCAR,0.02682,300,Siqi Tang,~/tsq/sb-te/local_potential/1-sb2te/POSCAR,md-first-frame,PCM,-3.5722749837239585
Sb150Te150,amorphous,300K,tsq/sb-te/local_potential/2-sb2te2/POSCAR,0.02543,300,Siqi Tang,~/tsq/sb-te/local_potential/2-sb2te2/POSCAR,md-first-frame,PCM,-3.4307430013020834
Sb120Te180,amorphous,300K,tsq/sb-te/local_potential/3-sb2te3/POSCAR,0.02577,300,Siqi Tang,~/tsq/sb-te/local_potential/3-sb2te3/POSCAR,md-first-frame,PCM,-3.3560489908854167
Te300,amorphous,300K,tsq/sb-te/local_potential/4-te/POSCAR,0.02489,300,Siqi Tang,~/tsq/sb-te/local_potential/4-te/POSCAR,md-first-frame,Others,-2.8822823079427082
Sb300,amorphous,300K,tsq/sb-te/local_potential_1/0-sb/POSCAR,0.02987,300,Siqi Tang,~/tsq/sb-te/local_potential_1/0-sb/POSCAR,md-first-frame,Others,-3.9242049153645833
Sb200Te100,amorphous,300K,tsq/sb-te/local_potential_1/1-sb2te/POSCAR,0.02682,300,Siqi Tang,~/tsq/sb-te/local_potential_1/1-sb2te/POSCAR,md-first-frame,PCM,-3.64268310546875
Sb150Te150,amorphous,300K,tsq/sb-te/local_potential_1/2-sb2te2/POSCAR,0.02543,300,Siqi Tang,~/tsq/sb-te/local_potential_1/2-sb2te2/POSCAR,md-first-frame,PCM,-3.514268798828125
